Tree,Year,Number cones,Growth,Temperature
A,2009,0,0.21,8.58
A,2010,14,0.26,8.67
A,2011,0,0.2,8.32
A,2012,35,0.15,9.68
A,2013,14,0.21,9.09
B,2009,64,0.21,7.28
B,2010,22,0.23,7.36
B,2011,64,0.23,7.05
B,2012,22,0.19,8.45
B,2013,57,0.17,7.85
