DataCode,RecType,RecYear,BurnTrt,Watershed,Block,ANPP_Total,ANPP_Grass,ANPP_Forb,ANPP_Woody,TotalStems,PlantNMDS1,PlantNMDS2,PlantShannon,PlantRichness,PlantEvar,PlantTotalCover,GrassRelCov,ForbRelCov,WoodyRelCov,ForbRelCov2,WoodyRelCov2,UnkGrassCov2,C3GrassRelCov,C4GrassRelCov,DryMass,AFDM,RSC_DM,RSC_AFDM,Insect_Biomass,Insect_NMDS1,Insect_NMDS2,Insect_Shannon,Insect_Rich,Insect_Evar,Mycorr_Count,lnBG,lnPhos,lnNAG,lnCBH,lnLAP,lnPHX,lnPOX,BG,Phos,NAG,CBH,LAP,PHX,POX,PC1,PC2,PC3,C_N,N_P,Light_May,Light_Aug,nitrate,ammonium
GFE01,6,2014,Unburned,20B,D,440.767,369.85,64.142,6.775,143.167,0.444,-0.436,2.128,16,0.392,190.333,68.446,30.136,1.418,30.136,1.418,0,24.623,43.823,186.301,88.3,1037.602,570.527,0.153,0.246,0.134,1.642,7.667,0.649,62.37,5.262,-999,4.48,4.402,2.342,3.228,4.227,195.833,-999,91,83.833,11,468.333,393.667,-0.326,0.048,0.485,1.146,0.849,14.872,5.671,3.116,28.606
GFE01,6,2014,Unburned,20B,E,412.225,367.875,44.35,0,156.333,0.596,0.034,1.685,11.833,0.333,189.5,79.121,18.644,2.235,18.644,2.235,0,29.149,49.972,151.189,85.753,973.384,783.623,0.183,0.112,0.144,2.227,11.833,0.747,65.098,5.445,5.727,4.577,4.513,2.658,4.458,4.233,235.5,314,102.5,93.333,14.667,658.667,509.167,-1.423,-0.39,0.348,1.156,0.825,14.083,5.396,3.055,28.72
GFE01,6,2014,Unburned,20B,F,422.9,383.392,39.508,0,96.833,0.499,0.021,1.456,11.833,0.281,173.5,80.332,18.795,0.873,18.795,0.873,0,22.569,57.762,151.613,75.565,1116.947,560.033,0.114,0.181,0.346,1.706,7.833,0.705,60.069,5.28,5.467,4.958,4.688,1.733,4.417,2.835,197,242.333,147.167,112.667,6.167,541.333,150.333,-0.805,1.137,0.562,1.057,0.918,11.521,8.053,3.068,28.175
GFE01,6,2014,Unburned,20C,A,433.358,329.842,97.625,5.892,184.5,0.486,-0.322,1.91,14,0.299,220.167,78.064,21.779,0.157,21.779,0.157,0,34.096,43.968,126.533,73.017,892.279,694.593,0.069,-0.153,0.555,2.06,10.167,0.731,44.191,5.112,-999,4.772,4.377,1.502,5.895,7.645,169,-999,119.833,81,7,1362.333,2509.5,-0.011,-0.179,1.612,1.06,0.819,12.739,7.926,1.596,17.308
GFE01,6,2014,Unburned,20C,B,422.558,394.942,27.617,0,218.5,0.447,-0.003,1.498,9.5,0.257,196,88.995,10.423,0.581,10.423,0.581,0,34.586,54.41,155.077,117.168,1166.454,903.37,0.127,-0.155,0.267,1.98,10.167,0.684,62.228,5.078,5.907,4.595,4.383,2.573,3.577,1.953,167,375.833,100.833,81.333,13.5,837.833,417.333,-0.582,0.206,-0.034,1.077,0.802,9.6,4.689,1.801,17.048
GFE01,6,2014,Unburned,20C,C,378.025,344.625,33.4,0,151.333,0.471,0.093,1.747,13.333,0.34,200.833,86.747,13.253,0,13.253,0,0,28.317,58.431,165.678,92.545,794.975,749.47,0.066,-0.157,0.061,1.5,7.667,0.66,53.613,5.187,5.583,4.328,4.143,1.788,2.398,3.982,184.167,282.167,82.833,67.5,7.167,447.167,1769,0.304,0.409,1.171,1.187,0.793,11.561,3.935,1.234,10.715
