enzyme,site,hyper
15,CCD,norm
31,CCD,norm
19,CCD,norm
35,CCD,norm
8,CCD,hyp
36,CCD,hyp
11,CCD,hyp
18,CCD,hyp
62,DCT,norm
73,DCT,norm
58,DCT,norm
66,DCT,norm
44,DCT,hyp
49,DCT,hyp
46,DCT,hyp
37,DCT,hyp
7,OMC,norm
7,OMC,norm
9,OMC,norm
17,OMC,norm
19,OMC,hyp
7,OMC,hyp
15,OMC,hyp
4,OMC,hyp
